affirmer|verb|			Bruno	Hee-Soo	Mathieu		
	II._A._2.UND-21	[Le suj. désigne une ou plusieurs pers. ou un aspect de leur personnalité] Se manifester et s'imposer avec vigueur	none	none	none	Rendre plus ferme.	http://kaiko.getalp.org/dbnary/fra/__ws_4_affirmer__verb__1
	II._A._2.UND-21	[Le suj. désigne une ou plusieurs pers. ou un aspect de leur personnalité] Se manifester et s'imposer avec vigueur	narrower	exact	related	(Pronominal) Se manifester clairement, nettement.	http://kaiko.getalp.org/dbnary/fra/__ws_5_affirmer__verb__1
	II._A._UND-20	[Le suj. est un n. de chose] Prendre une forme nette et la manifester.	none	none	none	(Logique) Exprimer qu’une chose est certaine.	http://kaiko.getalp.org/dbnary/fra/__ws_1a_affirmer__verb__1
	II._A._UND-20	[Le suj. est un n. de chose] Prendre une forme nette et la manifester.	none	none	none	Assurer, soutenir qu’une chose est vraie.	http://kaiko.getalp.org/dbnary/fra/__ws_1_affirmer__verb__1
	II._A._UND-20	[Le suj. est un n. de chose] Prendre une forme nette et la manifester.	none	none	none	(Justice) Assurer avec serment.	http://kaiko.getalp.org/dbnary/fra/__ws_2_affirmer__verb__1
	II._A._UND-20	[Le suj. est un n. de chose] Prendre une forme nette et la manifester.	none	none	related	Assurer fermement.	http://kaiko.getalp.org/dbnary/fra/__ws_3_affirmer__verb__1
	II._A._UND-20	[Le suj. est un n. de chose] Prendre une forme nette et la manifester.	none	related	none	Rendre plus ferme.	http://kaiko.getalp.org/dbnary/fra/__ws_4_affirmer__verb__1
	II._A._UND-20	[Le suj. est un n. de chose] Prendre une forme nette et la manifester.	narrower	none	none	(Pronominal) Se manifester clairement, nettement.	http://kaiko.getalp.org/dbnary/fra/__ws_5_affirmer__verb__1
monologue|noun|masculine							
https://www.cnrtl.fr/definition/54218							
http://kaiko.getalp.org/dbnary/fra/monologue__nom__1							
	A._UND-1	Discours qu'un personnage seul en scène se tient à lui-même.	related	narrower	narrower	Scène dite par un seul personnage.	http://kaiko.getalp.org/dbnary/fra/__ws_2_monologue__nom__1
	A._UND-1	Discours qu'un personnage seul en scène se tient à lui-même.	related	exact	exact	(Théâtre) Scène d’une pièce de théâtre où un personnage est seul et se parle à lui-même.	http://kaiko.getalp.org/dbnary/fra/__ws_1_monologue__nom__1
	A._UND-1	Discours qu'un personnage seul en scène se tient à lui-même.	related	exact	none	(Figuré) Discours d’une personne parlant toute seule ou ne laissant pas parler les autres, ou parlant simplement pour elle-même.	http://kaiko.getalp.org/dbnary/fra/__ws_3_monologue__nom__1
	A._UND-2	Pièce à un personnage, généralement fantaisiste ou comique.	related	related	narrower	Scène dite par un seul personnage.	http://kaiko.getalp.org/dbnary/fra/__ws_2_monologue__nom__1
	A._UND-2	Pièce à un personnage, généralement fantaisiste ou comique.	related	related	related	(Théâtre) Scène d’une pièce de théâtre où un personnage est seul et se parle à lui-même.	http://kaiko.getalp.org/dbnary/fra/__ws_1_monologue__nom__1
	A._UND-2	Pièce à un personnage, généralement fantaisiste ou comique.	none	none	none	(Figuré) Discours d’une personne parlant toute seule ou ne laissant pas parler les autres, ou parlant simplement pour elle-même.	http://kaiko.getalp.org/dbnary/fra/__ws_3_monologue__nom__1
	B._UND-3	Discours qu'une personne seule se tient à elle-même.	none	none	related	Scène dite par un seul personnage.	http://kaiko.getalp.org/dbnary/fra/__ws_2_monologue__nom__1
	B._UND-3	Discours qu'une personne seule se tient à elle-même.	none	related	broader	(Théâtre) Scène d’une pièce de théâtre où un personnage est seul et se parle à lui-même.	http://kaiko.getalp.org/dbnary/fra/__ws_1_monologue__nom__1
	B._UND-3	Discours qu'une personne seule se tient à elle-même.	broader	exact	related	(Figuré) Discours d’une personne parlant toute seule ou ne laissant pas parler les autres, ou parlant simplement pour elle-même.	http://kaiko.getalp.org/dbnary/fra/__ws_3_monologue__nom__1
	B._UND-6	Discours d'une personne qui parle sans attendre de réponse ou sans laisser répondre ses interlocuteurs; dialogue, conversation où seul l'un des interlocuteurs est actif.	none	none	none	Scène dite par un seul personnage.	http://kaiko.getalp.org/dbnary/fra/__ws_2_monologue__nom__1
	B._UND-6	Discours d'une personne qui parle sans attendre de réponse ou sans laisser répondre ses interlocuteurs; dialogue, conversation où seul l'un des interlocuteurs est actif.	none	none	related	(Théâtre) Scène d’une pièce de théâtre où un personnage est seul et se parle à lui-même.	http://kaiko.getalp.org/dbnary/fra/__ws_1_monologue__nom__1
	B._UND-6	Discours d'une personne qui parle sans attendre de réponse ou sans laisser répondre ses interlocuteurs; dialogue, conversation où seul l'un des interlocuteurs est actif.	exact	narrower	exact	(Figuré) Discours d’une personne parlant toute seule ou ne laissant pas parler les autres, ou parlant simplement pour elle-même.	http://kaiko.getalp.org/dbnary/fra/__ws_3_monologue__nom__1
comploter|verb|							
https://www.cnrtl.fr/definition/20779							
http://kaiko.getalp.org/dbnary/fra/comploter__verb__1							
	A._UND-1	Préparer secrètement et à plusieurs (un dessein criminel).	narrower	exact	narrower	Faire un complot, projeter, machiner un dessein criminel contre quelqu’un.	http://kaiko.getalp.org/dbnary/fra/__ws_1_comploter__verb__1
	A._UND-2	Préparer en secret, seul ou à plusieurs, un projet ou une action quelconque.	narrower	none	broader	Faire un complot, projeter, machiner un dessein criminel contre quelqu’un.	http://kaiko.getalp.org/dbnary/fra/__ws_1_comploter__verb__1
	B._UND-3	Ourdir des complots	related	broader	broader	Faire un complot, projeter, machiner un dessein criminel contre quelqu’un.	http://kaiko.getalp.org/dbnary/fra/__ws_1_comploter__verb__1
bousiller|verb|							
https://www.cnrtl.fr/definition/14081							
http://kaiko.getalp.org/dbnary/fra/bousiller__verb__1							
	I._UND-1	Maçonner, construire en bousillage.	exact	broader	exact	(Transitif) Construire en torchis, c'est à dire en utilisant entre autre de la boue.	http://kaiko.getalp.org/dbnary/fra/__ws_1_bousiller__verb__1
	I._UND-1	Maçonner, construire en bousillage.	none	none	related	(Intransitif) (Sens propre) ou (Figuré) Faire du bousillage.	http://kaiko.getalp.org/dbnary/fra/__ws_2_bousiller__verb__1
	I._UND-2	Abîmer	none	none	none	(Transitif) Construire en torchis, c'est à dire en utilisant entre autre de la boue.	http://kaiko.getalp.org/dbnary/fra/__ws_1_bousiller__verb__1
	I._UND-2	Abîmer	none	none	none	(Intransitif) (Sens propre) ou (Figuré) Faire du bousillage.	http://kaiko.getalp.org/dbnary/fra/__ws_2_bousiller__verb__1
	II._UND-4	Exécuter un travail trop vite et mal.	none	none	none	(Transitif) Construire en torchis, c'est à dire en utilisant entre autre de la boue.	http://kaiko.getalp.org/dbnary/fra/__ws_1_bousiller__verb__1
	II._UND-4	Exécuter un travail trop vite et mal.	exact	none	narrower	(Intransitif) (Sens propre) ou (Figuré) Faire du bousillage.	http://kaiko.getalp.org/dbnary/fra/__ws_2_bousiller__verb__1
domestique|adjective|							
https://www.cnrtl.fr/definition/27767							
http://kaiko.getalp.org/dbnary/fra/domestique__adj__1							
	I._A._4.UND-4	[En parlant de divinités] Attaché à un foyer.	none	related	none	Relatif au ménage, à l'intérieur de la famille.	http://kaiko.getalp.org/dbnary/fra/__ws_2_domestique__adj__1
	I._A._4.UND-4	[En parlant de divinités] Attaché à un foyer.	none	exact	broader	Qui est de la maison ; qui appartient à la maison.	http://kaiko.getalp.org/dbnary/fra/__ws_1_domestique__adj__1
	I._A._4.UND-4	[En parlant de divinités] Attaché à un foyer.	none	none	none	(Élevage) (Par extension) Qualifie les animaux qui vivent dans la demeure de l’homme, qui y sont élevés et nourris. → voir animal domestique.	http://kaiko.getalp.org/dbnary/fra/__ws_3_domestique__adj__1
	I._A._4.UND-5	[Qualifiant un nom péj., à propos d'une pers.] Qui exerce son activité à l'intérieur du milieu familial.	none	narrower	none	Relatif au ménage, à l'intérieur de la famille.	http://kaiko.getalp.org/dbnary/fra/__ws_2_domestique__adj__1
	I._A._4.UND-5	[Qualifiant un nom péj., à propos d'une pers.] Qui exerce son activité à l'intérieur du milieu familial.	none	related	none	Qui est de la maison ; qui appartient à la maison.	http://kaiko.getalp.org/dbnary/fra/__ws_1_domestique__adj__1
	I._A._4.UND-5	[Qualifiant un nom péj., à propos d'une pers.] Qui exerce son activité à l'intérieur du milieu familial.	none	none	none	(Élevage) (Par extension) Qualifie les animaux qui vivent dans la demeure de l’homme, qui y sont élevés et nourris. → voir animal domestique.	http://kaiko.getalp.org/dbnary/fra/__ws_3_domestique__adj__1
	I._A._UND-1	Qui concerne le ménage.	narrower	exact	narrower	Relatif au ménage, à l'intérieur de la famille.	http://kaiko.getalp.org/dbnary/fra/__ws_2_domestique__adj__1
	I._A._UND-1	Qui concerne le ménage.	related	none	none	Qui est de la maison ; qui appartient à la maison.	http://kaiko.getalp.org/dbnary/fra/__ws_1_domestique__adj__1
	I._A._UND-1	Qui concerne le ménage.	none	none	none	(Élevage) (Par extension) Qualifie les animaux qui vivent dans la demeure de l’homme, qui y sont élevés et nourris. → voir animal domestique.	http://kaiko.getalp.org/dbnary/fra/__ws_3_domestique__adj__1
	I._A._UND-2	Qui concerne la vie privée.	related	none	none	Relatif au ménage, à l'intérieur de la famille.	http://kaiko.getalp.org/dbnary/fra/__ws_2_domestique__adj__1
	I._A._UND-2	Qui concerne la vie privée.	none	none	related	Qui est de la maison ; qui appartient à la maison.	http://kaiko.getalp.org/dbnary/fra/__ws_1_domestique__adj__1
	I._A._UND-2	Qui concerne la vie privée.	none	none	none	(Élevage) (Par extension) Qualifie les animaux qui vivent dans la demeure de l’homme, qui y sont élevés et nourris. → voir animal domestique.	http://kaiko.getalp.org/dbnary/fra/__ws_3_domestique__adj__1
	I._A._UND-3	[En parlant de choses concr.] Qui appartient à l'environnement familial, au patrimoine.	related	related	related	Relatif au ménage, à l'intérieur de la famille.	http://kaiko.getalp.org/dbnary/fra/__ws_2_domestique__adj__1
	I._A._UND-3	[En parlant de choses concr.] Qui appartient à l'environnement familial, au patrimoine.	none	none	broader	Qui est de la maison ; qui appartient à la maison.	http://kaiko.getalp.org/dbnary/fra/__ws_1_domestique__adj__1
	I._A._UND-3	[En parlant de choses concr.] Qui appartient à l'environnement familial, au patrimoine.	none	none	related	(Élevage) (Par extension) Qualifie les animaux qui vivent dans la demeure de l’homme, qui y sont élevés et nourris. → voir animal domestique.	http://kaiko.getalp.org/dbnary/fra/__ws_3_domestique__adj__1
	I._A._UND-7	Qui appartient à un pays, à un peuple.	none	none	none	Relatif au ménage, à l'intérieur de la famille.	http://kaiko.getalp.org/dbnary/fra/__ws_2_domestique__adj__1
	I._A._UND-7	Qui appartient à un pays, à un peuple.	none	none	none	Qui est de la maison ; qui appartient à la maison.	http://kaiko.getalp.org/dbnary/fra/__ws_1_domestique__adj__1
	I._A._UND-7	Qui appartient à un pays, à un peuple.	none	none	none	(Élevage) (Par extension) Qualifie les animaux qui vivent dans la demeure de l’homme, qui y sont élevés et nourris. → voir animal domestique.	http://kaiko.getalp.org/dbnary/fra/__ws_3_domestique__adj__1
	I._UND-8	Qui concerne la vie à la maison.	broader	related	none	Relatif au ménage, à l'intérieur de la famille.	http://kaiko.getalp.org/dbnary/fra/__ws_2_domestique__adj__1
	I._UND-8	Qui concerne la vie à la maison.	exact	exact	related	Qui est de la maison ; qui appartient à la maison.	http://kaiko.getalp.org/dbnary/fra/__ws_1_domestique__adj__1
	I._UND-8	Qui concerne la vie à la maison.	none	none	none	(Élevage) (Par extension) Qualifie les animaux qui vivent dans la demeure de l’homme, qui y sont élevés et nourris. → voir animal domestique.	http://kaiko.getalp.org/dbnary/fra/__ws_3_domestique__adj__1
	I._UND-9	[En parlant d’animaux] Choisi, élevé par l'homme, qui vit dans son entourage pour l'aider, le distraire, le nourrir.	none	none	none	Relatif au ménage, à l'intérieur de la famille.	http://kaiko.getalp.org/dbnary/fra/__ws_2_domestique__adj__1
	I._UND-9	[En parlant d’animaux] Choisi, élevé par l'homme, qui vit dans son entourage pour l'aider, le distraire, le nourrir.	none	none	none	Qui est de la maison ; qui appartient à la maison.	http://kaiko.getalp.org/dbnary/fra/__ws_1_domestique__adj__1
	I._UND-9	[En parlant d’animaux] Choisi, élevé par l'homme, qui vit dans son entourage pour l'aider, le distraire, le nourrir.	exact	broader	exact	(Élevage) (Par extension) Qualifie les animaux qui vivent dans la demeure de l’homme, qui y sont élevés et nourris. → voir animal domestique.	http://kaiko.getalp.org/dbnary/fra/__ws_3_domestique__adj__1
	II._A._UND-11	Homme (même de noble condition) attaché au service d'un grand personnage.	none	none	none	Relatif au ménage, à l'intérieur de la famille.	http://kaiko.getalp.org/dbnary/fra/__ws_2_domestique__adj__1
	II._A._UND-11	Homme (même de noble condition) attaché au service d'un grand personnage.	none	none	none	Qui est de la maison ; qui appartient à la maison.	http://kaiko.getalp.org/dbnary/fra/__ws_1_domestique__adj__1
	II._A._UND-11	Homme (même de noble condition) attaché au service d'un grand personnage.	none	none	none	(Élevage) (Par extension) Qualifie les animaux qui vivent dans la demeure de l’homme, qui y sont élevés et nourris. → voir animal domestique.	http://kaiko.getalp.org/dbnary/fra/__ws_3_domestique__adj__1
	II._A._UND-12	Ensemble des domestiques ( II B 1) qui appartiennent à une maison.	none	none	none	Relatif au ménage, à l'intérieur de la famille.	http://kaiko.getalp.org/dbnary/fra/__ws_2_domestique__adj__1
	II._A._UND-12	Ensemble des domestiques ( II B 1) qui appartiennent à une maison.	none	none	none	Qui est de la maison ; qui appartient à la maison.	http://kaiko.getalp.org/dbnary/fra/__ws_1_domestique__adj__1
	II._A._UND-12	Ensemble des domestiques ( II B 1) qui appartiennent à une maison.	none	none	none	(Élevage) (Par extension) Qualifie les animaux qui vivent dans la demeure de l’homme, qui y sont élevés et nourris. → voir animal domestique.	http://kaiko.getalp.org/dbnary/fra/__ws_3_domestique__adj__1
	II._B._UND-16	Personne employée pour le service, l'entretien d'une maison.	none	none	related	Relatif au ménage, à l'intérieur de la famille.	http://kaiko.getalp.org/dbnary/fra/__ws_2_domestique__adj__1
	II._B._UND-16	Personne employée pour le service, l'entretien d'une maison.	none	none	none	Qui est de la maison ; qui appartient à la maison.	http://kaiko.getalp.org/dbnary/fra/__ws_1_domestique__adj__1
	II._B._UND-16	Personne employée pour le service, l'entretien d'une maison.	none	none	none	(Élevage) (Par extension) Qualifie les animaux qui vivent dans la demeure de l’homme, qui y sont élevés et nourris. → voir animal domestique.	http://kaiko.getalp.org/dbnary/fra/__ws_3_domestique__adj__1
	II._B._UND-19	Personne hiérarchiquement inférieure, qui aide, sert.	none	none	related	Relatif au ménage, à l'intérieur de la famille.	http://kaiko.getalp.org/dbnary/fra/__ws_2_domestique__adj__1
	II._B._UND-19	Personne hiérarchiquement inférieure, qui aide, sert.	none	none	none	Qui est de la maison ; qui appartient à la maison.	http://kaiko.getalp.org/dbnary/fra/__ws_1_domestique__adj__1
	II._B._UND-19	Personne hiérarchiquement inférieure, qui aide, sert.	none	none	none	(Élevage) (Par extension) Qualifie les animaux qui vivent dans la demeure de l’homme, qui y sont élevés et nourris. → voir animal domestique.	http://kaiko.getalp.org/dbnary/fra/__ws_3_domestique__adj__1
cocasserie|noun|feminine							
https://www.cnrtl.fr/definition/19828							
http://kaiko.getalp.org/dbnary/fra/cocasserie__nom__1							
	A._1.UND-1	Aspect drôle ou saugrenu d'une chose.	related	exact	narrower	Chose, parole cocasse.	http://kaiko.getalp.org/dbnary/fra/__ws_1_cocasserie__nom__1
	A._1.UND-2	Caractère amusant, plaisant d'une uvre, d'un style, d'un langage ou d'une situation.	related	related	narrower	Chose, parole cocasse.	http://kaiko.getalp.org/dbnary/fra/__ws_1_cocasserie__nom__1
	A._UND-4	Tendance habituelle à la plaisanterie; aspect physique ou moral suscitant le rire ou la moquerie.	none	none	narrower	Chose, parole cocasse.	http://kaiko.getalp.org/dbnary/fra/__ws_1_cocasserie__nom__1
	B._UND-6	Bon mot, trait comique de langage.	narrower	related	related	Chose, parole cocasse.	http://kaiko.getalp.org/dbnary/fra/__ws_1_cocasserie__nom__1
	B._UND-7	Situation comique; comportement, attitude morale dont l'extravagance ou l'étrangeté fait rire par l'effet de surprise qu'elle provoque généralement	narrower	none	narrower	Chose, parole cocasse.	http://kaiko.getalp.org/dbnary/fra/__ws_1_cocasserie__nom__1
	B._UND-8	uvre écrite, peinte ou jouée, tenant de la farce et du vaudeville.	none	none	narrower	Chose, parole cocasse.	http://kaiko.getalp.org/dbnary/fra/__ws_1_cocasserie__nom__1
	UND-5	Caractère de ce qui est cocasse, risible jusqu'au ridicule.	narrower	narrower	related	Chose, parole cocasse.	http://kaiko.getalp.org/dbnary/fra/__ws_1_cocasserie__nom__1
	UND-9	Propos, acte, situation portant au rire ou à la moquerie.	narrower	related	narrower	Chose, parole cocasse.	http://kaiko.getalp.org/dbnary/fra/__ws_1_cocasserie__nom__1
altération|noun|feminine							
https://www.cnrtl.fr/definition/5294							
http://kaiko.getalp.org/dbnary/fra/altération__nom__1							
	A._1.UND-3	Modification que l'on fait subir à l'intonation primitive d'une note en la haussant ou en la baissant au moyen de signes appelés signes d'altération.	none	none	none	(Jardinage) Diminution considérable de l'activité de la sève.	http://kaiko.getalp.org/dbnary/fra/__ws_5_altération__nom__1
